Default Parameters;;;;;;;
x; y; x estimate; y estimate; sync error; TDOA error; position error;
0,5;0,25;0,467;0,243;-0,000111;0,000119;0,033734;0,019
0,5;0,25;0,48;0,25;-0,000056;0,000064;0,02;0,02
0,5;0,25;0,485;0,27;0;0,000008;0,025;0,021
Mic Position Error Factor;;;;;;;
x; y; x estimate; y estimate; sync error; TDOA error; position error; mic position error factor
0,5;0,25;0,489;0,25;-0,000028;0,000036;0,011;0,001
0,5;0,25;0,505;0,254;0,000014;-0,000027;0,006403;0,002
0,5;0,25;0,506;0,25;-0,000007;-0,00002;0,006;0,003
0,5;0,25;0,503;0,253;0,000021;-0,000013;0,004243;0,004
0,5;0,25;0,506;0,25;0,000014;-0,00002;0,006;0,005
0,5;0,25;0,498;0,25;-0,000014;0,000008;0,002;0,006
0,5;0,25;0,506;0,25;0,000014;-0,00002;0,006;0,007
0,5;0,25;0,503;0,246;0,000028;0,000001;0,005;0,008
0,5;0,25;0,498;0,25;0,000049;0,000008;0,002;0,009
0,5;0,25;0,502;0,257;-0,000007;-0,00002;0,00728;0,01
0,5;0,25;0,498;0,264;0,000049;-0,00002;0,014142;0,011
0,5;0,25;0,504;0,24;0,000063;0,000001;0,01077;0,012
0,5;0,25;0,502;0,257;-0,000007;-0,00002;0,00728;0,013
0,5;0,25;0,49;0,253;-0,00009;0,000029;0,01044;0,014
0,5;0,25;0,505;0,247;-0,000097;-0,000013;0,005831;0,015
0,5;0,25;0,514;0,243;0,000035;-0,000034;0,015652;0,016
0,5;0,25;0,504;0,26;0,000132;-0,000027;0,01077;0,017
0,5;0,25;0,51;0,243;0,000049;-0,00002;0,012207;0,018
0,5;0,25;0,498;0,25;0,000042;0,000008;0,002;0,019
0,5;0,25;0,506;0,25;0,000111;-0,00002;0,006;0,02
0,5;0,25;0,502;0,25;0,000076;-0,000006;0,002;0,021
Source Signal Frequency;;;;;;;
x; y; x estimate; y estimate; sync error; TDOA error; position error; source signal frequency
0,5;0,25;0,493;0,243;-0,000014;0,000036;0,009899;10
0,5;0,25;0,506;0,25;0,000028;-0,00002;0,006;20
0,5;0,25;0,502;0,257;0,000014;-0,00002;0,00728;40
0,5;0,25;0,498;0,25;-0,000007;0,000008;0,002;80
0,5;0,25;0,506;0,25;0,000014;-0,00002;0,006;160
0,5;0,25;0,506;0,25;0,000021;-0,00002;0,006;320
0,5;0,25;0,498;0,25;0;0,000008;0,002;640
0,5;0,25;0,41;0,259;-0,000292;0,000272;0,090449;1280
0,5;0,25;0,397;0,246;-0,000285;0,000341;0,103078;2560
0,5;0,25;0,396;0,25;-0,00034;0,000341;0,104;5120
0,5;0,25;0,393;0,245;-0,000299;0,000362;0,107117;10240
